cell_id	cell_cycle
HEK293T_A41	1
HEK293T_B19	1
HEK293T_A45	1
HEK293T_B24	1
HEK293T_B14	1
HEK293T_B28	1
HEK293T_B53_M	1
HEK293T_B35	1
HEK293T_A37	1
HEK293T_B51_M	1
HEK293T_A69	1
HEK293T_A56	1
HEK293T_A13	1
HEK293T_B12	1
HEK293T_A79	1
HEK293T_B17	1
HEK293T_A33	1
HEK293T_A09	1
HEK293T_A38	1
HEK293T_A19	1
HEK293T_B59_M	1
HEK293T_B10	1
HEK293T_A72	1
HEK293T_B33	1
HEK293T_B47_M	1
HEK293T_B34	1
HEK293T_A03	1
HEK293T_A53	1
HEK293T_A68	1
HEK293T_B39	1
HEK293T_A40	1
HEK293T_B58_M	1
HEK293T_A21	1
HEK293T_A66	1
HEK293T_B56_M	1
HEK293T_B25	1
HEK293T_A02	1
HEK293T_A81	1
HEK293T_A32	1
HEK293T_A59	1
HEK293T_A80	1
HEK293T_A05	2
HEK293T_B22	2
HEK293T_B11	2
HEK293T_A46	2
HEK293T_B48_M	2
HEK293T_A44	2
HEK293T_A49	2
HEK293T_A60	2
HEK293T_B05	2
HEK293T_B08	2
HEK293T_A73	2
HEK293T_A25	2
HEK293T_A48	2
HEK293T_A54	2
HEK293T_A71	2
HEK293T_A34	2
HEK293T_A36	2
HEK293T_B46_M	2
HEK293T_A74	2
HEK293T_B61_M	2
HEK293T_A29	2
HEK293T_A39	2
HEK293T_A55	2
HEK293T_A10	2
HEK293T_A30	2
HEK293T_A18	2
HEK293T_B23	2
HEK293T_A52	2
HEK293T_A15	2
HEK293T_B49_M	2
HEK293T_A11	2
HEK293T_B04	2
HEK293T_A23	2
HEK293T_A01	2
HEK293T_A50	2
HEK293T_A78	2
HEK293T_A63	2
HEK293T_A04	2
HEK293T_A77	2
HEK293T_A57	2
HEK293T_B40	2
HEK293T_A08	2
HEK293T_B09	2
HEK293T_A24	2
HEK293T_B45_M	2
HEK293T_A26	2
HEK293T_B44_M	2
HEK293T_B54_M	2
HEK293T_B29	2
HEK293T_A35	2
HEK293T_A67	2
HEK293T_A70	3
HEK293T_A31	3
HEK293T_A62	3
HEK293T_B32	3
HEK293T_B07	3
HEK293T_B57_M	3
HEK293T_A76	3
HEK293T_A64	3
HEK293T_A58	3
HEK293T_B21	3
HEK293T_B16	3
HEK293T_B52_M	3
HEK293T_B50_M	3
HEK293T_B60_M	3
HEK293T_A43	3
HEK293T_B37	3
HEK293T_B15	3
HEK293T_B55_M	3
HEK293T_B01	3
HEK293T_A22	3
HEK293T_B27	3
HEK293T_A65	3
HEK293T_B20	3
HEK293T_A07	3
HEK293T_B36	3
HEK293T_B38	3
HEK293T_A06	3
HEK293T_A20	3
HEK293T_B41_M	3
HEK293T_A75	3
HEK293T_A82	3
HEK293T_A17	3
HEK293T_B03	3
HEK293T_B31	3
HEK293T_A16	3
HEK293T_B02	3
HEK293T_A28	3
HEK293T_A61	3
HEK293T_A12	3
HEK293T_B06	3
HEK293T_B30	3
HEK293T_B26	3
HEK293T_A14	3
HEK293T_A27	3
HEK293T_A42	3
HEK293T_A47	3
HEK293T_B42_M	3
HEK293T_B13	3
HEK293T_A51	3
HEK293T_B43_M	3
HEK293T_B18	3
