	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_unspliced	initial_size_spliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A01	0	267213.0	10573	2	0	0	133665.0	9062	267213.0	10573	133665.0	267213.0	267213.0	211772.9817898081	0.18567187	82.49	0.9434287676801412	0.5777373733160281	0	5.829726234181657e-08	0.08751695808450494	0.9821824431419373	0.9772969713634176
HEK293T_A02	0	228519.0	10195	1	4	4	192055.0	9601	228519.0	10195	192055.0	228519.0	228519.0	213830.8797474171	0.50353885	49.09	0.792822248449189	0.2614219150778631	0	6.825677368741191e-06	0.0009497760245616165	0.4651356637477875	0.7826728468695949
HEK293T_A03	0	256105.0	10031	1	1	1	134770.0	8859	256105.0	10031	134770.0	256105.0	256105.0	213609.3248042795	0.25544244	63.12	0.8864038337887172	0.5142213309182206	0	4.197499724190998e-06	0.0005942466044211751	0.3785056471824646	0.7042720643965102
HEK293T_A04	0	340958.0	11029	2	0	0	211371.0	9756	340958.0	11029	211371.0	340958.0	340958.0	212275.80025692313	0.19198638	82.39	0.9509888669718443	0.5816102187335962	0	6.013355685974136e-08	0.14105514479742196	0.9945269227027893	0.9747118270214725
HEK293T_A05	0	192395.0	9682	2	0	0	164772.0	8968	192395.0	9682	164772.0	192395.0	192395.0	212126.13465526648	0.30661774	60.48	0.6908376730761067	0.46898778141001146	0	8.870680406080419e-06	0.00576362351522419	0.7627601027488708	0.881285362226339
HEK293T_A06	0	249935.0	10247	3	2	2	142775.0	9001	249935.0	10247	142775.0	249935.0	249935.0	213714.4653249845	0.06684464	62.66	0.9769164360012063	0.7007765975468039	0	0.8409635650297623	2.6965509273390393e-09	0.007468091789633036	0.034554001531246645
HEK293T_A07	0	282111.0	10472	3	2	2	117297.0	8857	282111.0	10472	117297.0	282111.0	282111.0	213985.53723534354	0.048808873	62.66	0.969802408454356	0.7238477170886276	0	0.7592798047756395	6.626661652181154e-09	0.010956555604934692	0.034554001531246645
HEK293T_A08	0	286975.0	10527	2	0	0	227752.0	9542	286975.0	10527	227752.0	286975.0	286975.0	212161.84622702326	0.1725924	73.04	0.9150837898245698	0.5993107469868169	0	1.2490661754886306e-07	0.017062720474200373	0.9594310522079468	0.938596820608288
HEK293T_A09	0	230762.0	10158	1	1	1	172315.0	9227	230762.0	10158	172315.0	230762.0	230762.0	213389.76278156717	0.15434408	62.99	0.874498047170917	0.6347191656235	0	7.189588164205443e-06	0.000750390975959412	0.4171779155731201	0.680456182757853
HEK293T_A10	0	243528.0	9952	2	0	0	139676.0	8764	243528.0	9952	139676.0	243528.0	243528.0	211811.04331329462	0.29688966	64.71	0.9369503674071222	0.4466480392018128	0	8.619665799965036e-07	0.006171680825099197	0.8908543586730957	0.9319549948490005
HEK293T_A11	0	207705.0	10183	2	0	0	155074.0	9085	207705.0	10183	155074.0	207705.0	207705.0	211281.08706579043	0.19744915	83.11	0.965109699330354	0.5758264361789642	0	6.13791014410487e-08	0.11932511758345098	0.9937610626220703	0.9754863624113502
HEK293T_A12	0	232577.0	9934	3	1	1	111246.0	8730	232577.0	9934	111246.0	232577.0	232577.0	213612.18886648293	0.00859797	86.47	0.9250915048568482	0.787213000047739	0	0.04905804304442196	0.0004304571814732567	0.12865042686462402	0.3862533961983445
HEK293T_A13	0	232830.0	10303	1	1	1	163546.0	9362	232830.0	10303	163546.0	232830.0	232830.0	214206.64052312847	0.33842444	60.73	0.8308233335906775	0.4493734099032931	0	6.021987188009142e-06	0.0008281009505879644	0.4119102954864502	0.723492970450897
HEK293T_A14	0	229614.0	9978	3	1	1	157737.0	9138	229614.0	9978	157737.0	229614.0	229614.0	213096.94465494264	0.01669699	84.73	0.9311024314493397	0.7635823691909521	0	0.04729216359349288	0.00044333099596341095	0.19417163729667664	0.42933818558843595
HEK293T_A15	0	299891.0	10573	2	0	0	246127.0	9639	299891.0	10573	246127.0	299891.0	299891.0	211933.367446839	0.27141386	70.2	0.9221721203813907	0.4940615715242499	0	1.5292436657675268e-07	0.012827023808158934	0.9362380504608154	0.9090982593167545
HEK293T_A16	0	162816.0	9591	3	2	2	102137.0	8530	162816.0	9591	102137.0	162816.0	162816.0	213251.6176112913	0.001887083	83.72	0.9463869785579716	0.7750900299926046	0	0.427528441721286	2.4962189176912006e-08	0.027656668797135353	0.14282512622752985
HEK293T_A17	0	273804.0	10345	3	2	2	126873.0	8821	273804.0	10345	126873.0	273804.0	273804.0	213104.3605425779	0.17515057	51.87	0.9679195178312442	0.5949460992730071	0	1.0	0.0	0.021093863993883133	0.0
HEK293T_A18	0	238161.0	10039	2	0	0	134076.0	8764	238161.0	10039	134076.0	238161.0	238161.0	211409.27323113356	0.16616523	70.3	0.9345912384736185	0.6020983760595605	0	1.2602291877406012e-07	0.017049016063274778	0.9567902684211731	0.9322781070580026
HEK293T_A19	0	175465.0	9747	1	4	4	80287.0	8046	175465.0	9747	80287.0	175465.0	175465.0	212571.48136095516	0.4490402	47.5	0.8689970674793362	0.34523744359452196	0	2.2015754486848847e-06	0.0008084363014721723	0.4418635666370392	0.7691179550661515
HEK293T_A20	0	221504.0	10079	3	2	2	131414.0	8855	221504.0	10079	131414.0	221504.0	221504.0	213451.7062987576	0.10090947	58.71	0.9805388928704888	0.6725310528964408	0	0.9205364960857048	1.9437569202006313e-09	0.0064879776909947395	0.02053823014360983
HEK293T_A21	0	199820.0	10073	1	4	4	130047.0	8927	199820.0	10073	130047.0	199820.0	199820.0	213610.7523771394	0.48267245	48.18	0.8591451413555686	0.21624264811577246	0	3.652218551414944e-06	0.0009589726249967748	0.4584519565105438	0.7975515278189276
HEK293T_A22	0	338661.0	10599	3	2	2	216428.0	9583	338661.0	10599	216428.0	338661.0	338661.0	213769.08014208896	0.1004768	56.15	0.9734930680491946	0.665460607187123	0	0.8409635650297623	2.6965509273390393e-09	0.007522178813815117	0.014296313428369694
HEK293T_A23	0	182594.0	9402	2	3	3	61153.0	7543	182594.0	9402	61153.0	182594.0	182594.0	210850.05797014144	0.13556314	79.79	0.9101219386969026	0.6542275019714894	0	8.568054159310819e-08	0.05541431710795405	0.9794577360153198	0.9744030436085382
HEK293T_A24	0	173355.0	9904	2	0	0	86072.0	8595	173355.0	9904	86072.0	173355.0	173355.0	212813.59901358487	0.25245678	80.26	0.9608397114987188	0.5293083371804645	0	3.81401891083194e-08	0.13453007120787902	0.9558749198913574	0.9503191238550709
HEK293T_A25	0	219146.0	10447	2	0	0	124948.0	9145	219146.0	10447	124948.0	219146.0	219146.0	212453.48921723416	0.14269811	76.42	0.907633777571063	0.6378756295386305	0	6.243783054224285e-07	0.024284755857067852	0.9408857226371765	0.9499942217821185
HEK293T_A26	0	183802.0	9548	2	3	3	60522.0	7634	183802.0	9548	60522.0	183802.0	183802.0	211142.45695367843	0.22323722	81.67	0.9601215679944888	0.5483396560110742	0	6.080497533448193e-06	0.10508555926529875	0.9303334355354309	0.9450165141071915
HEK293T_A27	0	244938.0	10330	3	2	2	173317.0	9275	244938.0	10330	173317.0	244938.0	244938.0	213935.74099159788	0.018197715	87.2	0.9263378645392624	0.7623609729795219	0	0.0913475656737947	0.00021811404362996183	0.08682692795991898	0.2808802436460673
HEK293T_A28	0	281331.0	10607	3	2	2	202183.0	9628	281331.0	10607	202183.0	281331.0	281331.0	213342.62442816468	0.027168453	73.42	0.9616548892553584	0.7514803022400736	0	0.6790605469173333	8.247128933009894e-09	0.008117546327412128	0.07419986228265348
