	orig.ident	nCount_RNA	nFeature_RNA	cell_cycle	RNA_snn_res.0.4	seurat_clusters	nCount_unspliced	nFeature_unspliced	nCount_spliced	nFeature_spliced	initial_size_spliced	initial_size_unspliced	initial_size	n_counts	velocity_self_transition	velocity_length	velocity_confidence	velocity_confidence_transition	Endpoints	root_cells	end_points	velocity_pseudotime	latent_time
HEK293T_A01	0	267213.0	10573	2	0	0	133665.0	9062	267213.0	10573	267213.0	133665.0	267213.0	211772.9817898081	0.1856553	82.5	0.9434203081647642	0.5776097236062304	0	3.7742168180790165e-08	0.08756732251906889	0.9832929372787476	0.9674367311273424
HEK293T_A02	0	228519.0	10195	1	4	4	192055.0	9601	228519.0	10195	228519.0	192055.0	228519.0	213830.8797474171	0.50313246	49.11	0.7929135389972938	0.2628025003120151	0	6.5022906452162994e-06	0.0009546052600056133	0.4671839475631714	0.7791159840950279
HEK293T_A03	0	256105.0	10031	1	1	1	134770.0	8859	256105.0	10031	256105.0	134770.0	256105.0	213609.3248042795	0.25539345	63.13	0.8863879612150039	0.5141421722816228	0	4.065309867708234e-06	0.0005980712499050311	0.37977343797683716	0.6985210825467865
HEK293T_A04	0	340958.0	11029	2	0	0	211371.0	9756	340958.0	11029	340958.0	211371.0	340958.0	212275.80025692313	0.1918912	82.4	0.9509851695026752	0.581531505402627	0	2.452858909459121e-08	0.14102484057671416	0.994479775428772	0.9651422326517044
HEK293T_A05	0	192395.0	9682	2	0	0	164772.0	8968	192395.0	9682	192395.0	164772.0	192395.0	212126.13465526648	0.30660683	60.49	0.6906978590830714	0.468668056415349	0	8.564280909097263e-06	0.005778639988135471	0.7644414305686951	0.8591222175986535
HEK293T_A06	0	249935.0	10247	3	2	2	142775.0	9001	249935.0	10247	249935.0	142775.0	249935.0	213714.4653249845	0.06672847	62.66	0.9769252192399968	0.7007738561158752	0	0.8408845759530128	0.0	0.007427421864122152	0.03487120930901367
HEK293T_A07	0	282111.0	10472	3	2	2	117297.0	8857	282111.0	10472	282111.0	117297.0	282111.0	213985.53723534354	0.048715353	62.66	0.9698081274529522	0.723808154429317	0	0.7591638118470803	1.6748673679521728e-09	0.010939391329884529	0.03487120930901367
HEK293T_A08	0	286975.0	10527	2	0	0	227752.0	9542	286975.0	10527	286975.0	227752.0	286975.0	212161.84622702326	0.17250562	73.06	0.9150217671009596	0.5992109261530046	0	5.963036325930322e-08	0.017078991489230984	0.9607924818992615	0.9007722337002245
HEK293T_A09	0	230762.0	10158	1	1	1	172315.0	9227	230762.0	10158	230762.0	172315.0	230762.0	213389.76278156717	0.15438938	62.99	0.874560850291469	0.6345160895168238	0	6.9048351047775515e-06	0.0007548987038764883	0.4185970425605774	0.6763268426176663
HEK293T_A10	0	243528.0	9952	2	0	0	139676.0	8764	243528.0	9952	243528.0	139676.0	243528.0	211811.04331329462	0.29647332	64.73	0.936949662480798	0.44676328567624696	0	7.677503803014208e-07	0.006177280102474483	0.892842710018158	0.8905791539959332
