DDB_G0267178	DDB_G0267178_RTE
DDB_G0267180	DDB_G0267180_RTE
DDB_G0267182	DDB_G0267182_RTE
DDB_G0267184	DDB_G0267184_RTE
DDB_G0267186	DDB_G0267186_RTE
DDB_G0267188	DDB_G0267188_RTE
DDB_G0267190	DDB_G0267190_TE
DDB_G0267194	DDB_G0267194
DDB_G0267196	DDB_G0267196
DDB_G0267198	DDB_G0267198
DDB_G0267202	DDB_G0267202_TE
DDB_G0267204	DDB_G0267204_ps
DDB_G0267206	DDB_G0267206_RTE
DDB_G0267208	DDB_G0267208_RTE
DDB_G0267210	DDB_G0267210_RTE
DDB_G0267212	DDB_G0267212_RTE
DDB_G0267216	DDB_G0267216
DDB_G0267218	DDB_G0267218
DDB_G0267220	DDB_G0267220
DDB_G0267222	DDB_G0267222
DDB_G0267224	DDB_G0267224
DDB_G0267226	DDB_G0267226
DDB_G0267228	DDB_G0267228_TE
DDB_G0267230	DDB_G0267230
DDB_G0267236	DDB_G0267236_RTE
DDB_G0267238	DDB_G0267238_RTE
DDB_G0267240	DDB_G0267240_RTE
DDB_G0267242	DDB_G0267242_RTE
DDB_G0267244	DDB_G0267244_RTE
DDB_G0267246	DDB_G0267246_RTE
DDB_G0267248	DDB_G0267248_RTE
DDB_G0267250	DDB_G0267250_TE
DDB_G0267252	DDB_G0267252
DDB_G0267254	DDB_G0267254_ps
DDB_G0267258	DDB_G0267258_RTE
DDB_G0267260	DDB_G0267260_RTE
DDB_G0267262	DDB_G0267262_RTE
DDB_G0267264	DDB_G0267264_RTE
DDB_G0267270	DDB_G0267270_RTE
DDB_G0267272	DDB_G0267272_RTE
DDB_G0267274	DDB_G0267274_TE
DDB_G0267278	DDB_G0267278_TE
DDB_G0267280	DDB_G0267280_TE
DDB_G0267282	DDB_G0267282_RTE
DDB_G0267286	DDB_G0267286
DDB_G0267292	DDB_G0267292_RTE
DDB_G0267294	DDB_G0267294_RTE
DDB_G0267296	DDB_G0267296_RTE
DDB_G0267298	DDB_G0267298_TE
DDB_G0267300	DDB_G0267300_RTE
DDB_G0267302	DDB_G0267302_TE
DDB_G0267304	DDB_G0267304_RTE
DDB_G0267306	DDB_G0267306_RTE
DDB_G0267308	DDB_G0267308_RTE
DDB_G0267310	DDB_G0267310_RTE
DDB_G0267314	DDB_G0267314_RTE
DDB_G0267322	DDB_G0267322_RTE
DDB_G0267324	DDB_G0267324_RTE
DDB_G0267326	DDB_G0267326_RTE
DDB_G0267328	DDB_G0267328_RTE
DDB_G0267330	DDB_G0267330_RTE
DDB_G0267332	DDB_G0267332
DDB_G0267334	DDB_G0267334_RTE
DDB_G0267336	DDB_G0267336_TE
DDB_G0267338	DDB_G0267338_RTE
DDB_G0267342	DDB_G0267342_RTE
DDB_G0267344	DDB_G0267344
DDB_G0267346	DDB_G0267346
DDB_G0267348	DDB_G0267348_TE
DDB_G0267350	DDB_G0267350_TE
DDB_G0267352	DDB_G0267352_TE
DDB_G0267354	DDB_G0267354_TE
DDB_G0267356	DDB_G0267356_RTE
DDB_G0267358	DDB_G0267358_RTE
DDB_G0267362	DDB_G0267362_RTE
DDB_G0267364	DDB_G0267364_RTE
DDB_G0267366	DDB_G0267366_RTE
DDB_G0267370	DDB_G0267370_TE
DDB_G0267372	DDB_G0267372_RTE
DDB_G0267374	acpA
DDB_G0267376	acrA
DDB_G0267378	aqpA
DDB_G0267380	argE
DDB_G0267382	corA
